Pincode,District,State,Population_Density,Fire_Brigade_Vehicles,Ambulances,NDRF_Personnel,Special_Requirement
400024,Mumbai,Maharashtra,23500,7,6,68,"Urban Search and Rescue Tools"
400025,Mumbai,Maharashtra,31500,12,10,135,"Water Purification Tablets"
400026,Mumbai,Maharashtra,20500,3,3,25,"Emergency Food Supplies"
400027,Mumbai,Maharashtra,29000,9,8,95,"Temporary Shelter Materials"
400028,Mumbai,Maharashtra,25000,6,5,58,"Ambulance Cots"
400029,Mumbai,Maharashtra,34000,15,13,180,"Satellite Communication Devices"
400030,Mumbai,Maharashtra,22000,4,3,32,"Protective Clothing"
400031,Mumbai,Maharashtra,28000,8,7,88,"Victim Identification Kits"
400032,Mumbai,Maharashtra,24500,5,4,48,"Power Inverters"
400033,Mumbai,Maharashtra,30000,11,9,120,"Mobile Kitchen Unit"
400034,Mumbai,Maharashtra,21500,3,2,22,"Blankets and Bedding"
400035,Mumbai,Maharashtra,26000,7,6,72,"Fuel Storage Tanks"
400036,Mumbai,Maharashtra,32500,13,11,150,"Portable Toilets"
400037,Mumbai,Maharashtra,20000,2,2,15,"Signage and Barriers"
400038,Mumbai,Maharashtra,29500,10,9,105,"Psychological First Aid Teams"
400039,Mumbai,Maharashtra,25500,6,5,62,"Water Rescue Equipment"
400040,Mumbai,Maharashtra,33500,14,12,165,"Emergency Medical Technicians"
400041,Mumbai,Maharashtra,21000,4,3,28,"Communication Radios"
400042,Mumbai,Maharashtra,27500,8,7,80,"Debris Removal Equipment"
400043,Mumbai,Maharashtra,24000,5,4,52,"Mortuary Bags"
400044,Mumbai,Maharashtra,31000,12,10,130,"Volunteer Coordination Teams"
400045,Mumbai,Maharashtra,19500,3,2,19,"Lighting Towers"
400046,Mumbai,Maharashtra,28500,9,8,98,"Logistics Support Vehicles"
400047,Mumbai,Maharashtra,25000,6,5,55,"Information Management Systems"
400048,Mumbai,Maharashtra,34500,15,13,170,"Child Care Specialists"
400049,Mumbai,Maharashtra,22500,4,3,35,"Elderly Care Support"
400050,Mumbai,Maharashtra,29000,10,9,110,"Animal Rescue Equipment"
400051,Mumbai,Maharashtra,26500,7,6,65,"Mapping and GIS Systems"
400052,Mumbai,Maharashtra,30500,11,10,125,"Hygiene Kits"
400053,Mumbai,Maharashtra,20000,2,2,16,"Traffic Diversion Plans"
400054,Mumbai,Maharashtra,27000,8,7,78,"Structural Assessment Teams"
400055,Mumbai,Maharashtra,23500,5,4,45,"Temporary Communication Networks"
400056,Mumbai,Maharashtra,32000,13,11,145,"Cash Assistance Distribution Teams"
400057,Mumbai,Maharashtra,21500,3,3,29,"Water Storage Tanks"
400058,Mumbai,Maharashtra,28000,9,8,92,"Damage Assessment Tools"
400059,Mumbai,Maharashtra,25500,6,5,60,"Public Health Teams"
400060,Mumbai,Maharashtra,33000,14,12,160,"Food Distribution Centers"
400061,Mumbai,Maharashtra,20500,4,3,31,"Security Personnel"
400062,Mumbai,Maharashtra,27500,8,7,83,"Translation Services"
400063,Mumbai,Maharashtra,24500,5,4,50,"Child Protection Services"
400064,Mumbai,Maharashtra,31500,12,10,138,"Mental Health Support Teams"
400065,Mumbai,Maharashtra,19000,2,2,17,"Information Hotlines"
400066,Mumbai,Maharashtra,28500,9,8,95,"Legal Aid Services"
400067,Mumbai,Maharashtra,26000,7,6,70,"Waste Management Teams"
400068,Mumbai,Maharashtra,34000,15,13,175,"Shelter Management Teams"
400069,Mumbai,Maharashtra,23000,4,3,36,"Accessibility Equipment"
400070,Mumbai,Maharashtra,29500,10,9,115,"Power Restoration Teams"
400071,Mumbai,Maharashtra,27000,8,7,85,"Water and Sanitation Experts"
400072,Mumbai,Maharashtra,30000,11,10,130,"Community Engagement Teams"
400073,Mumbai,Maharashtra,21000,3,2,24,"Search Dogs with Handlers"
400074,Mumbai,Maharashtra,28000,9,8,90,"Bridge Assessment Teams"
400075,Mumbai,Maharashtra,25000,6,5,57,"Structural Engineers"
400076,Mumbai,Maharashtra,33500,14,12,168,"Heavy Machinery Operators"
400077,Mumbai,Maharashtra,22000,4,3,33,"Geotechnical Engineers"
400078,Mumbai,Maharashtra,29000,10,9,108,"Environmental Assessment Teams"
400079,Mumbai,Maharashtra,26500,7,6,68,"Hazardous Material Handling Teams"
400080,Mumbai,Maharashtra,31000,12,10,133,"Air Quality Monitoring Equipment"
380001,Ahmedabad,Gujarat,18000,8,7,90,"Traffic Control Equipment"
380002,Ahmedabad,Gujarat,21000,10,9,110,"Mobile Communication Units"
390001,Vadodara,Gujarat,15000,6,5,70,"Industrial Safety Gear"
390002,Vadodara,Gujarat,17000,7,6,80,"Chemical Leak Containment Kits"
360001,Rajkot,Gujarat,14000,5,4,60,"Earthmoving Equipment"
360002,Rajkot,Gujarat,16000,6,5,75,"Dust Suppression Systems"
361001,Jamnagar,Gujarat,12000,4,3,50,"Coastal Rescue Boats"
361002,Jamnagar,Gujarat,13000,5,4,55,"Oil Spill Response Kits"
395001,Surat,Gujarat,25000,12,10,130,"Textile Industry Safety Equipment"
395002,Surat,Gujarat,23000,11,9,120,"Fire Suppression Systems"
382001,Gandhinagar,Gujarat,9000,3,3,40,"Emergency Coordination Center"
382002,Gandhinagar,Gujarat,10000,4,4,45,"Government Liaison Officers"
364001,Bhavnagar,Gujarat,11000,4,3,50,"Port Evacuation Plans"
364002,Bhavnagar,Gujarat,12500,5,4,58,"Marine Distress Signals"
383001,Himmatnagar,Gujarat,7000,2,2,30,"Rural Road Clearing Equipment"
383002,Himmatnagar,Gujarat,8000,3,3,35,"Agricultural Emergency Supplies"
362001,Junagadh,Gujarat,10000,3,3,42,"Wildlife Rescue Teams"
362002,Junagadh,Gujarat,11500,4,4,48,"Forest Firefighting Equipment"
370001,Bhuj,Gujarat,8500,3,2,38,"Earthquake Resistant Construction Info"
370002,Bhuj,Gujarat,9500,4,3,41,"Seismic Monitoring Equipment"
302001,Jaipur,Rajasthan,19000,9,8,100,"Heritage Building Protection Gear"
302002,Jaipur,Rajasthan,22000,11,10,120,"Tourist Evacuation Plans"
332001,Ajmer,Rajasthan,13000,5,4,60,"Pilgrimage Crowd Control"
332002,Ajmer,Rajasthan,14500,6,5,70,"Sanitation Facilities for Large Gatherings"
342001,Jodhpur,Rajasthan,16000,7,6,80,"Desert Rescue Vehicles"
342002,Jodhpur,Rajasthan,18000,8,7,95,"Water Conservation Equipment"
324001,Kota,Rajasthan,12000,4,3,55,"Industrial Area Emergency Protocols"
324002,Kota,Rajasthan,13500,5,4,65,"Chemical Safety Training Materials"
313001,Udaipur,Rajasthan,15000,6,5,75,"Lake Rescue Equipment"
313002,Udaipur,Rajasthan,17000,7,6,85,"Boating Safety Gear"
334001,Bikaner,Rajasthan,9000,3,2,40,"Livestock Emergency Shelters"
334002,Bikaner,Rajasthan,10500,4,3,45,"Veterinary Support Units"
321001,Bharatpur,Rajasthan,11000,4,3,50,"Wildlife Sanctuary Emergency Plans"
321002,Bharatpur,Rajasthan,12500,5,4,58,"Ornithological Emergency Response"
331001,Sikar,Rajasthan,8000,2,2,35,"Agricultural Disaster Relief"
331002,Sikar,Rajasthan,9500,3,3,40,"Soil Conservation Measures"
305001,Pali,Rajasthan,7500,2,2,32,"Textile Industry Waste Management"
305002,Pali,Rajasthan,8500,3,3,37,"Water Pollution Control Equipment"
328001,Bundi,Rajasthan,6500,2,1,28,"Historical Site Preservation"
328002,Bundi,Rajasthan,7500,3,2,31,"Heritage Tourism Safety Measures"
560001,Bengaluru,Karnataka,22000,9,8,110,"Traffic Management Systems"
560002,Bengaluru,Karnataka,18000,7,6,85,"IT Sector Emergency Response"
570001,Mysuru,Karnataka,14000,6,5,70,"Heritage Site Protection Plans"
570002,Mysuru,Karnataka,16000,7,6,80,"Tourism Safety and Support"
580001,Hubballi-Dharwad,Karnataka,11000,4,3,50,"Industrial Fire Safety Protocols"
580002,Hubballi-Dharwad,Karnataka,12500,5,4,58,"Textile Industry Emergency Response"
575001,Mangaluru,Karnataka,13000,5,4,65,"Coastal Disaster Preparedness"
575002,Mangaluru,Karnataka,15000,6,5,75,"Port Emergency Response Plan"
585101,Kalaburagi,Karnataka,9000,3,2,40,"Drought Relief Coordination"
585102,Kalaburagi,Karnataka,10500,4,3,45,"Water Scarcity Management"
577001,Shivamogga,Karnataka,8000,3,2,35,"Forest Fire Prevention"
577002,Shivamogga,Karnataka,9500,4,3,41,"Wildlife Conflict Mitigation"
583101,Ballari,Karnataka,10000,4,3,48,"Mining Safety Equipment"
583102,Ballari,Karnataka,11500,5,4,52,"Environmental Protection Measures (Mining)"
587101,Belagavi,Karnataka,12000,5,4,55,"Border Area Emergency Response"
587102,Belagavi,Karnataka,13500,6,5,62,"Cross-Border Communication Systems"
572101,Tumakuru,Karnataka,7500,2,2,32,"Agricultural Emergency Support"
572102,Tumakuru,Karnataka,8500,3,3,37,"Food Security Measures"
581301,Karwar,Karnataka,6500,2,1,28,"Naval Base Liaison Protocols"
581302,Karwar,Karnataka,7500,3,2,31,"Marine Search and Rescue"
600001,Chennai,Tamil Nadu,26000,15,12,200,"Coastal Flood Management"
600002,Chennai,Tamil Nadu,21000,13,11,180,"Urban Flood Control Measures"
625001,Madurai,Tamil Nadu,16000,7,6,80,"Temple Festival Crowd Management"
625002,Madurai,Tamil Nadu,18000,8,7,90,"Heritage Site Emergency Response"
641001,Coimbatore,Tamil Nadu,17000,8,7,85,"Industrial Accident Response Teams"
641002,Coimbatore,Tamil Nadu,19000,9,8,95,"Textile Mill Safety Protocols"
620001,Tiruchirappalli,Tamil Nadu,12000,5,4,60,"Riverine Flood Preparedness"
620002,Tiruchirappalli,Tamil Nadu,14000,6,5,70,"Dam Safety Emergency Plans"
627001,Tirunelveli,Tamil Nadu,10000,4,3,50,"Drought Impact Mitigation"
627002,Tirunelveli,Tamil Nadu,11500,5,4,55,"Agricultural Water Management"
636001,Salem,Tamil Nadu,11000,4,3,52,"Steel Industry Safety Measures"
636002,Salem,Tamil Nadu,12500,5,4,58,"Mining Accident Response"
631001,Vellore,Tamil Nadu,9000,3,2,42,"Educational Institution Safety Plans"
631002,Vellore,Tamil Nadu,10500,4,3,48,"Hospital Emergency Preparedness"
629001,Nagercoil,Tamil Nadu,8500,3,2,38,"Coastal Erosion Control"
629002,Nagercoil,Tamil Nadu,9500,4,3,41,"Fishermen Safety Equipment"
635001,Hosur,Tamil Nadu,15000,6,5,78,"Automotive Industry Safety Standards"
635002,Hosur,Tamil Nadu,16500,7,6,82,"Supply Chain Disruption Contingency"
613001,Thanjavur,Tamil Nadu,10000,4,3,45,"Temple Fire Safety Measures"
613002,Thanjavur,Tamil Nadu,11000,5,4,50,"Agricultural Heritage Protection"
700001,Kolkata,West Bengal,24000,10,9,120,"Urban Congestion Management"
700002,Kolkata,West Bengal,20000,9,8,100,"Old Building Safety Protocols"
712101,Howrah,West Bengal,18000,8,7,90,"River Port Emergency Response"
712102,Howrah,West Bengal,19500,9,8,98,"Industrial Pollution Control"
713301,Durgapur,West Bengal,15000,7,6,80,"Steel Plant Safety Measures"
713302,Durgapur,West Bengal,16500,8,7,85,"Heavy Engineering Accident Response"
722101,Asansol,West Bengal,14000,6,5,75,"Coal Mine Safety Equipment"
722102,Asansol,West Bengal,15500,7,6,82,"Mine Rescue Operations"
734001,Siliguri,West Bengal,12000,5,4,65,"Himalayan Region Disaster Preparedness"
734002,Siliguri,West Bengal,13500,6,5,70,"Landslide Early Warning Systems"
742101,Malda,West Bengal,11000,4,3,55,"Agricultural Flood Management"
742102,Malda,West Bengal,12500,5,4,60,"Riverbank Erosion Control"
733101,Raiganj,West Bengal,9000,3,2,45,"Wildlife Corridor Protection"
733102,Raiganj,West Bengal,10500,4,3,50,"Human-Wildlife Conflict Resolution"
721001,Midnapore,West Bengal,10000,4,3,52,"Rural Healthcare Emergency Transport"
721002,Midnapore,West Bengal,11500,5,4,58,"Community Disaster Response Training"
741101,Krishnanagar,West Bengal,8500,3,2,40,"Handicraft Industry Safety"
741102,Krishnanagar,West Bengal,9500,4,3,43,"Artisan Support and Relief"
732101,Balurghat,West Bengal,7500,2,2,35,"Border Security Coordination"
732102,Balurghat,West Bengal,8500,3,3,38,"Refugee Support Systems"
201001,Noida,Uttar Pradesh,28000,12,10,140,"High-Rise Building Safety"
201002,Noida,Uttar Pradesh,25000,11,9,125,"Software Technology Park Emergency Response"
226001,Lucknow,Uttar Pradesh,20000,9,8,100,"Historical Monument Protection"
226002,Lucknow,Uttar Pradesh,18000,8,7,90,"Dense Urban Area Evacuation Plans"
263001,Kanpur,Uttar Pradesh,16000,7,6,80,"Leather Industry Safety Protocols"
263002,Kanpur,Uttar Pradesh,14000,6,5,70,"Chemical Industry Emergency Response"
282001,Agra,Uttar Pradesh,17000,8,7,85,"Taj Mahal Security and Emergency Plan"
282002,Agra,Uttar Pradesh,15000,7,6,75,"Tourism Infrastructure Safety"
211001,Prayagraj,Uttar Pradesh,13000,5,4,65,"Large Religious Gathering Management"
211002,Prayagraj,Uttar Pradesh,12000,5,4,60,"Riverbank Safety Measures (Ganga & Yamuna)"
244001,Moradabad,Uttar Pradesh,11000,4,3,55,"Brassware Industry Safety"
244002,Moradabad,Uttar Pradesh,10000,4,3,50,"Industrial Waste Management"
272001,Basti,Uttar Pradesh,9000,3,2,45,"Agricultural Disaster Support"
272002,Basti,Uttar Pradesh,8000,3,2,40,"Rural Road Emergency Access"
250001,Meerut,Uttar Pradesh,15000,6,5,78,"Sports Goods Industry Safety"
250002,Meerut,Uttar Pradesh,13500,5,4,72,"Urban Fire Safety Upgrades"
231001,Varanasi,Uttar Pradesh,19000,9,8,95,"Ghat Safety and Security"
231002,Varanasi,Uttar Pradesh,17500,8,7,92,"Pilgrim Accommodation Safety"
292001,Saharanpur,Uttar Pradesh,10500,4,3,52,"Wood Carving Industry Safety"
292002,Saharanpur,Uttar Pradesh,9500,4,3,48,"Forest Resource Management"
462001,Bhopal,Madhya Pradesh,16000,7,6,80,"Lake Area Safety and Rescue"
462002,Bhopal,Madhya Pradesh,14000,6,5,70,"Urban Flooding Mitigation"
452001,Indore,Madhya Pradesh,18000,8,7,90,"Industrial Corridor Emergency Response"
452002,Indore,Madhya Pradesh,17000,8,7,85,"Commercial Area Evacuation Plans"
474001,Gwalior,Madhya Pradesh,12000,5,4,60,"Historical Fort Emergency Access"
474002,Gwalior,Madhya Pradesh,13500,6,5,65,"Tourism Safety in Heritage Areas"
482001,Jabalpur,Madhya Pradesh,11000,4,3,55,"River Narmada Flood Preparedness"
482002,Jabalpur,Madhya Pradesh,12500,5,4,60,"Stone Quarry Safety Measures"
456001,Ujjain,Madhya Pradesh,13000,5,4,62,"Mahakumbh Mela Crowd Control"
456002,Ujjain,Madhya Pradesh,14500,6,5,68,"Temple Emergency Response Systems"
450001,Khandwa,Madhya Pradesh,9000,3,2,45,"Dam Break Emergency Procedures"
450002,Khandwa,Madhya Pradesh,10500,4,3,50,"Reservoir Safety Management"
470001,Sagar,Madhya Pradesh,8500,3,2,40,"University Campus Safety and Security"
470002,Sagar,Madhya Pradesh,9500,4,3,43,"Educational Institution Evacuation Plans"
485001,Rewa,Madhya Pradesh,7500,2,2,35,"Cement Industry Safety Protocols"
485002,Rewa,Madhya Pradesh,8500,3,3,38,"Mining Area Emergency Response"
451001,Khargone,Madhya Pradesh,8000,3,2,38,"Cotton Industry Fire Safety"
451002,Khargone,Madhya Pradesh,9000,3,3,41,"Agricultural Processing Unit Safety"
465001,Ratlam,Madhya Pradesh,9500,4,3,42,"Railway Junction Emergency Plan"
465002,Ratlam,Madhya Pradesh,10500,4,4,46,"Transportation Hub Security"
140001,Chandigarh,Punjab,19000,8,7,95,"Planned Urban Area Emergency Response"
140002,Chandigarh,Punjab,17000,7,6,85,"Government Building Security"
141001,Ludhiana,Punjab,21000,10,9,110,"Industrial Accident Prevention"
141002,Ludhiana,Punjab,19000,9,8,100,"Textile and Manufacturing Safety"
143001,Amritsar,Punjab,15000,7,6,75,"Golden Temple Security and Emergency Plan"
143002,Amritsar,Punjab,13000,6,5,65,"Tourism Hub Emergency Response"
144001,Jalandhar,Punjab,14000,6,5,70,"Sports Goods Industry Safety Standards"
144002,Jalandhar,Punjab,12500,5,4,68,"Leather Goods Manufacturing Safety"
147001,Patiala,Punjab,11000,4,3,58,"Educational Institution Emergency Preparedness"
147002,Patiala,Punjab,10000,4,3,52,"University Campus Security"
151001,Bathinda,Punjab,10000,4,3,50,"Thermal Power Plant Emergency Protocols"
151002,Bathinda,Punjab,9000,3,2,45,"Petrochemical Industry Safety"
145001,Hoshiarpur,Punjab,8500,3,2,42,"Agricultural Equipment Safety"
145002,Hoshiarpur,Punjab,7500,2,2,38,"Rural Emergency Medical Services"
148001,Firozpur,Punjab,9500,4,3,48,"Border Area Security Coordination"
148002,Firozpur,Punjab,8500,3,2,43,"Cross-Border Emergency Communication"
160001,Mohali,Punjab,16000,7,6,82,"IT and Technology Park Safety"
160002,Mohali,Punjab,14500,6,5,77,"Residential Complex Emergency Plans"
152001,Faridkot,Punjab,7000,2,2,36,"Canal Safety and Flood Management"
152002,Faridkot,Punjab,6500,2,1,33,"Agricultural Water Resource Management"
800001,Patna,Bihar,25000,10,9,120,"Riverine Flood Management (Ganga)"
800002,Patna,Bihar,22000,9,8,105,"Old City Area Emergency Access"
823001,Gaya,Bihar,14000,6,5,70,"Pilgrimage Site Crowd Control (Bodh Gaya)"
823002,Gaya,Bihar,13000,5,4,65,"Temple Security and Emergency Response"
842001,Muzaffarpur,Bihar,16000,7,6,80,"Agricultural Flood Relief Coordination"
842002,Muzaffarpur,Bihar,15000,6,5,75,"Rural Road Connectivity During Disasters"
851101,Begusarai,Bihar,12000,5,4,60,"Industrial Area Safety Protocols"
851102,Begusarai,Bihar,11000,4,3,55,"Oil Refinery Emergency Response Planning"
812001,Bhagalpur,Bihar,13000,5,4,62,"Silk Industry Fire Safety"
812002,Bhagalpur,Bihar,12000,5,4,58,"Riverbank Erosion Mitigation (Ganga)"
844101,Darbhanga,Bihar,10000,4,3,50,"Pond and Wetland Safety"
844102,Darbhanga,Bihar,9000,3,2,45,"Rural Healthcare Access During Emergencies"
834001,Ranchi,Bihar,17000,8,7,88,"Urban Expansion Emergency Planning"
834002,Ranchi,Bihar,15500,7,6,82,"Mining Region Safety and Rescue"
854301,Purnia,Bihar,8500,3,2,42,"Floodplain Evacuation Strategies (Kosi)"
854302,Purnia,Bihar,7500,2,2,38,"River Navigation Safety"
824101,Aurangabad,Bihar,9500,4,3,48,"Quarry Safety Regulations"
824102,Aurangabad,Bihar,8500,3,2,43,"Rural Industrial Unit Safety"
857101,Madhubani,Bihar,8000,3,2,35,"Traditional Art Preservation Emergency Measures"
857102,Madhubani,Bihar,7000,2,1,32,"Cultural Heritage Site Protection"
751001,Bhubaneswar,Odisha,15000,7,6,80,"Cyclone Preparedness and Response"
751002,Bhubaneswar,Odisha,13500,6,5,70,"Urban Drainage System Management"
753001,Cuttack,Odisha,14000,6,5,75,"Riverine Flood Control (Mahanadi)"
753002,Cuttack,Odisha,12500,5,4,65,"Old City Infrastructure Safety"
760001,Berhampur,Odisha,11000,4,3,55,"Coastal Vulnerability Assessment"
760002,Berhampur,Odisha,10000,4,3,50,"Fisheries Disaster Support"
752001,Puri,Odisha,16000,7,6,82,"Temple Town Crowd Management (Jagannath)"
752002,Puri,Odisha,14500,6,5,78,"Coastal Erosion Mitigation Strategies"
768001,Sambalpur,Odisha,10000,4,3,48,"Dam Safety and Emergency Action Plans (Hirakud)"
768002,Sambalpur,Odisha,9000,3,2,45,"Reservoir Flood Forecasting"
761001,Balasore,Odisha,9500,4,3,42,"Coastal Industrial Area Safety"
761002,Balasore,Odisha,8500,3,2,38,"Defense Research Facility Emergency Protocols"
756001,Baripada,Odisha,8000,3,2,35,"Wildlife Sanctuary Fire Management (Simlipal)"
756002,Baripada,Odisha,7000,2,1,32,"Human-Wildlife Conflict Resolution"
770001,Angul,Odisha,12000,5,4,60,"Heavy Industry Safety Regulations (Coal)"
770002,Angul,Odisha,11000,4,3,58,"Power Plant Emergency Response"
769001,Rourkela,Odisha,13000,6,5,68,"Steel Plant Disaster Preparedness"
769002,Rourkela,Odisha,12000,5,4,62,"Industrial Township Safety and Security"
764001,Koraput,Odisha,7500,2,2,31,"Tribal Community Emergency Support"
764002,Koraput,Odisha,6500,2,1,28,"Remote Area Communication Systems"
695001,Thiruvananthapuram,Kerala,18000,8,7,90,"Coastal Storm Surge Management"
695002,Thiruvananthapuram,Kerala,16000,7,6,80,"Urban Landslide Risk Assessment"
682001,Kochi,Kerala,20000,9,8,100,"Port and Shipping Emergency Response"
682002,Kochi,Kerala,18500,8,7,95,"Backwater Flood Management"
686001,Kottayam,Kerala,13000,6,5,65,"Rubber Plantation Fire Safety"
686002,Kottayam,Kerala,12000,5,4,60,"Hilly Region Disaster Preparedness"
673001,Kozhikode,Kerala,15000,7,6,78,"Heavy Rainfall Induced Landslide Mitigation"
673002,Kozhikode,Kerala,13500,6,5,72,"Urban Waterlogging Solutions"
680001,Thrissur,Kerala,14000,6,5,70,"Temple Festival Safety Management (Thrissur Pooram)"
680002,Thrissur,Kerala,12500,5,4,62,"Heritage Building Emergency Response"
685001,Idukki,Kerala,9000,3,2,45,"Dam Break Inundation Planning (Idukki Dam)"
685002,Idukki,Kerala,8000,3,2,40,"High Range Area Evacuation Plans"
670001,Kannur,Kerala,11000,4,3,55,"Coastal Fishing Community Support"
670002,Kannur,Kerala,10000,4,3,50,"Beach Safety and Rescue Operations"
689001,Pathanamthitta,Kerala,10500,4,3,52,"Pilgrimage Season Disaster Management (Sabarimala)"
689002,Pathanamthitta,Kerala,9500,4,3,48,"Forest Area Fire Control"
690001,Kollam,Kerala,12000,5,4,58,"Cashew Industry Safety"
690002,Kollam,Kerala,11000,4,3,54,"Lake and Canal Safety Measures"
679001,Palakkad,Kerala,10000,4,3,47,"Agricultural Drought Preparedness"
679002,Palakkad,Kerala,9000,3,3,42,"Irrigation System Failure Contingency"
500001,Hyderabad,Telangana,23000,10,9,130,"Urban Flooding Early Warning Systems"
500002,Hyderabad,Telangana,20000,9,8,115,"IT Corridor Emergency Response"
505001,Karimnagar,Telangana,11000,4,3,55,"Granite Quarry Safety Measures"
505002,Karimnagar,Telangana,10000,4,3,50,"Agricultural Drought Mitigation"
506001,Warangal,Telangana,13000,6,5,68,"Historical Site Emergency Evacuation (Thousand Pillar Temple)"
506002,Warangal,Telangana,12000,5,4,62,"Lake and Tank Safety Management"
509001,Khammam,Telangana,9000,3,2,45,"Coal Mining Safety Protocols (Singareni Collieries)"
509002,Khammam,Telangana,8000,3,2,40,"Industrial Pollution Control Measures"
508001,Nalgonda,Telangana,8500,3,2,42,"Fluoride Contamination Control"
508002,Nalgonda,Telangana,7500,2,2,38,"Water Resource Management in Arid Regions"
502001,Sangareddy,Telangana,10000,4,3,52,"Pharmaceutical Industry Safety"
502002,Sangareddy,Telangana,9000,3,3,48,"Manufacturing Plant Emergency Response"
503001,Nizamabad,Telangana,7000,2,2,36,"Sugar Industry Safety Regulations"
503002,Nizamabad,Telangana,6500,2,1,33,"Agricultural Processing Unit Fire Safety"
504001,Adilabad,Telangana,6000,2,1,30,"Forest Fire Prevention and Control (Kawwal Tiger Reserve)"
504002,Adilabad,Telangana,5500,2,1,27,"Tribal Community Disaster Preparedness"
507001,Kothagudem,Telangana,11500,5,4,58,"Power Generation Plant Safety"
507002,Kothagudem,Telangana,10500,4,3,54,"Heavy Machinery Operation Safety"
501001,Medak,Telangana,7500,2,2,39,"Rural Emergency Medical Assistance"
501002,Medak,Telangana,6500,2,1,35,"Livestock Emergency Support"
122001,Gurgaon,Haryana,21000,9,8,110,"High-Rise Building Evacuation Plans"
122002,Gurgaon,Haryana,18000,8,7,95,"Corporate Office Emergency Response"
132001,Sonipat,Haryana,14000,6,5,70,"Industrial Area Fire Safety Audits"
132002,Sonipat,Haryana,12500,5,4,65,"Manufacturing Plant Disaster Recovery"
134001,Ambala,Haryana,13000,6,5,68,"Military Base Liaison Protocols"
134002,Ambala,Haryana,11500,5,4,62,"Aviation Safety and Emergency Response"
121001,Faridabad,Haryana,19000,8,7,98,"Dense Industrial Area Safety"
121002,Faridabad,Haryana,17000,7,6,92,"Chemical Storage Safety Regulations"
135001,Yamunanagar,Haryana,10000,4,3,52,"Paper Mill Safety Standards"
135002,Yamunanagar,Haryana,9000,3,3,48,"Wood Processing Industry Safety"
131001,Panipat,Haryana,15000,7,6,75,"Textile Industry Fire Prevention"
131002,Panipat,Haryana,13500,6,5,72,"Carpet Manufacturing Safety"
125001,Bhiwani,Haryana,8000,3,2,40,"Mining Area Safety and Rescue Operations"
125002,Bhiwani,Haryana,7000,2,2,35,"Quarry Safety Regulations"
136001,Kurukshetra,Haryana,9500,4,3,45,"Religious Tourism Crowd Management (Brahma Sarovar)"
136002,Kurukshetra,Haryana,8500,3,2,42,"Historical Site Preservation Emergency Measures"
124001,Rohtak,Haryana,11000,4,3,58,"Educational Hub Emergency Preparedness"
