date,call_type,call_count,district,latitude,longitude,response_time,destruction_scale,event_category,event_name,event_radius_km,event_description,anomaly_flag
2025-04-28,Medical,145,Patna,25.5941,85.1376,14.2,4.5,Healthcare,Heatstroke Wave,90,45°C temperatures overwhelming hospitals,False
2025-04-28,Disaster,66,Surat,21.1702,72.8311,26.5,6.8,Natural,Urban Flooding,25,Diamond district inundation,True
2025-04-28,Medical,81,Indore,22.7196,75.8577,17.8,4.1,Healthcare,Gastroenteritis,55,Contaminated water supply outbreak,False
2025-04-28,Disaster,203,Mumbai,19.0760,72.8777,45.0,9.2,Natural,Cyclone,180,Coastal evacuation ordered,True
2025-04-28,Medical,88,Hyderabad,17.3850,78.4867,16.7,3.8,Healthcare,Dengue Outbreak,60,Unseasonal mosquito breeding spike,False
2025-04-28,Disaster,57,Nagpur,21.1458,79.0882,24.3,5.6,Infrastructure,Bridge Collapse,12,Old British-era bridge failure,True
2025-04-28,Environmental,34,Kochi,9.9312,76.2673,21.5,5.9,Environmental,Oil Spill,25,Tourist beaches contaminated,True
2025-04-28,Medical,107,Ranchi,23.3441,85.3096,19.1,4.7,Healthcare,Encephalitis,70,Japanese encephalitis cluster,False
2025-04-28,Disaster,72,Jodhpur,26.2389,73.0243,28.7,6.5,Natural,Sandstorm,150,Visibility below 50m airport closed,True
2025-04-29,Medical,127,Delhi,28.7041,77.1025,19.8,4.1,Healthcare,Respiratory Crisis,110,AQI 500+ emergency,False
2025-04-29,Disaster,78,Dehradun,30.3165,78.0322,26.4,7.3,Natural,Landslide,45,Char Dham highway blocked,True
2025-04-29,Industrial,94,Kanpur,26.4499,80.3319,31.5,7.1,Industrial,Textile Factory Fire,6,Worker casualties reported,True
2025-04-29,Medical,95,Lucknow,26.8467,80.9462,17.3,5.0,Healthcare,Cholera Outbreak,70,Slum area sanitation failure,False
2025-04-29,Disaster,142,Puri,19.8134,85.8315,38.6,8.4,Natural,Coastal Flooding,95,Temple town inundation,True
2025-04-29,Industrial,63,Bengaluru,12.9716,77.5946,29.7,6.2,Industrial,Factory Explosion,15,Electronics unit blast,True
2025-04-29,Medical,108,Guwahati,26.1445,91.7362,15.9,4.3,Healthcare,Malaria Spike,85,Post-flood vector surge,False
2025-04-29,Disaster,55,Amritsar,31.6340,74.8723,23.8,5.8,Infrastructure,Building Collapse,8,Heritage structure collapse,True
2025-04-29,Environmental,41,Goa,15.2993,74.1240,20.6,5.2,Environmental,Beach Erosion,30,25m coastline lost overnight,True
2025-04-29,Medical,116,Varanasi,25.3176,82.9739,18.2,4.9,Healthcare,Heat Exhaustion,85,Pilgrimage season crisis,False
2025-04-30,Disaster,134,Chennai,13.0827,80.2707,33.7,8.1,Natural,Cyclone,160,Second cyclone in 72 hours,True
2025-04-30,Medical,102,Patna,25.5941,85.1376,16.4,4.6,Healthcare,Heatstroke,95,47°C with 80% humidity,False
2025-04-30,Industrial,71,Ahmedabad,23.0225,72.5714,27.9,6.9,Industrial,Gas Leak,10,Chemical unit accident,True
2025-04-30,Medical,89,Bhopal,23.2599,77.4126,17.1,4.0,Healthcare,Dysentery,60,Water treatment plant failure,False
2025-04-30,Disaster,158,Visakhapatnam,17.6868,83.2185,36.2,8.3,Natural,Storm Surge,140,3m wave height recorded,True
2025-04-30,Medical,113,Pune,18.5204,73.8567,15.8,4.2,Healthcare,Leptospirosis,65,Sewage mixing with floodwaters,False
2025-04-30,Disaster,48,Jaipur,26.9124,75.7873,25.3,6.0,Infrastructure,Metro Tunnel Collapse,4,Construction site accident,True
2025-04-30,Environmental,37,Mangalore,12.9141,74.8560,22.4,5.5,Environmental,Oil Spill,28,Fishing harbor contamination,True
2025-04-30,Medical,124,Kolkata,22.5726,88.3639,19.7,4.8,Healthcare,Respiratory Emergency,100,Post-cyclone mold infestation,False
2025-04-30,Disaster,83,Shillong,25.5788,91.8933,29.5,7.0,Natural,Landslide,50,Hill station access blocked,True
2025-05-01,Medical,138,Delhi,28.7041,77.1025,20.1,4.3,Healthcare,Smog Crisis,115,Winter pollution onset early,False
2025-05-01,Disaster,91,Dehradun,30.3165,78.0322,27.3,7.5,Natural,Flash Floods,55,Cloudburst in mountains,True
2025-05-01,Industrial,77,Kanpur,26.4499,80.3319,30.8,7.3,Industrial,Battery Plant Fire,7,Lithium battery explosion,True
2025-05-01,Medical,104,Lucknow,26.8467,80.9462,17.6,5.2,Healthcare,Cholera,75,Old city water contamination,False
2025-05-01,Disaster,167,Puri,19.8134,85.8315,39.1,8.7,Natural,Coastal Erosion,110,500m beach lost in 24h,True
2025-05-01,Industrial,69,Bengaluru,12.9716,77.5946,28.9,6.5,Industrial,Data Center Fire,9,Major IT outage,True
2025-05-01,Medical,117,Guwahati,26.1445,91.7362,16.2,4.5,Healthcare,Malaria,90,Post-monsoon vector surge,False
2025-05-01,Disaster,62,Amritsar,31.6340,74.8723,24.5,6.1,Infrastructure,Bridge Crack,10,Critical structural flaw found,True
2025-05-01,Environmental,45,Goa,15.2993,74.1240,21.3,5.5,Environmental,Coral Bleaching,35,70% reef damage reported,True
2025-05-01,Medical,129,Varanasi,25.3176,82.9739,18.7,5.1,Healthcare,Heatstroke,95,Pilgrim crowding during heat,False
2025-05-02,Disaster,147,Chennai,13.0827,80.2707,34.2,8.3,Natural,Cyclone,170,Third cyclone in week,True
2025-05-02,Medical,109,Patna,25.5941,85.1376,16.9,4.8,Healthcare,Heat Exhaustion,100,Record May temperatures,False
2025-05-02,Industrial,84,Ahmedabad,23.0225,72.5714,28.7,7.2,Industrial,Chemical Leak,12,Pesticide factory incident,True
2025-05-02,Medical,97,Bhopal,23.2599,77.4126,17.5,4.3,Healthcare,Gastroenteritis,70,Municipal water contamination,False
2025-05-02,Disaster,182,Visakhapatnam,17.6868,83.2185,37.5,8.9,Natural,Storm Surge,150,Port infrastructure damaged,True
2025-05-02,Medical,121,Pune,18.5204,73.8567,16.3,4.5,Healthcare,Leptospirosis,75,Flood-related cases spiking,False
2025-05-02,Disaster,57,Jaipur,26.9124,75.7873,26.1,6.3,Infrastructure,Heritage Wall Collapse,6,300-year-old structure failed,True
2025-05-02,Environmental,43,Mangalore,12.9141,74.8560,23.2,5.8,Environmental,Oil Slick,32,Tourist season impact,True
2025-05-02,Medical,135,Kolkata,22.5726,88.3639,20.3,5.0,Healthcare,Respiratory,110,Post-cyclone disease spike,False
2025-05-02,Disaster,96,Shillong,25.5788,91.8933,30.2,7.3,Natural,Landslide,55,Major highway blocked,True
2025-05-03,Medical,145,Delhi,28.7041,77.1025,21.0,4.6,Healthcare,Smog Emergency,125,Emergency measures enacted,False
2025-05-03,Disaster,105,Dehradun,30.3165,78.0322,28.1,7.8,Natural,Flash Flood,60,Pilgrimage routes affected,True
2025-05-03,Industrial,92,Kanpur,26.4499,80.3319,32.3,7.6,Industrial,Tannery Fire,8,Chemical runoff into Ganga,True
2025-05-03,Medical,113,Lucknow,26.8467,80.9462,18.1,5.5,Healthcare,Cholera,85,Old city outbreak worsening,False
2025-05-03,Disaster,193,Puri,19.8134,85.8315,40.3,9.1,Natural,Coastal Flooding,130,Temple submergence threat,True
2025-05-03,Industrial,78,Bengaluru,12.9716,77.5946,30.2,6.8,Industrial,IT Park Fire,10,Major tech company outage,True
2025-05-03,Medical,126,Guwahati,26.1445,91.7362,16.8,4.8,Healthcare,Malaria,100,Refugee camp outbreak,False
2025-05-03,Disaster,71,Amritsar,31.6340,74.8723,25.7,6.6,Infrastructure,Heritage Damage,12,Golden Temple perimeter crack,True
2025-05-03,Environmental,52,Goa,15.2993,74.1240,22.1,5.9,Environmental,Beach Loss,40,Resort areas eroding fast,True
2025-05-03,Medical,142,Varanasi,25.3176,82.9739,19.5,5.4,Healthcare,Heatstroke,105,Mass pilgrim hospitalization,False
2023-04-27,Disaster,79,Jaipur,26.9124,75.7873,26.9,4.4,Natural,Heatwave,70,Prolonged period of extremely high temperatures affecting vulnerable populations,False
2023-04-27,Medical,40,Vadodara,22.2294,73.261,13.3,4.0,Healthcare,Heatstroke Wave,82,"Multiple cases of heatstroke amid extreme temperatures, affecting vulnerable populations.",False
2023-04-27,Medical,138,Bengaluru,12.8313,77.6378,8.6,5.0,Healthcare,Heatstroke Wave,63,"Multiple cases of heatstroke amid extreme temperatures, affecting vulnerable populations.",False
2023-04-27,Disaster,93,Chennai,13.1878,80.1756,18.0,5.7,Natural,Drought,113,Prolonged dry period affecting agriculture and water availability.,False
2023-04-27,Medical,51,Odisha,20.6817,84.4343,14.6,4.6,Healthcare,Heatstroke Wave,129,"Multiple cases of heatstroke amid extreme temperatures, affecting vulnerable populations.",False
2023-04-28,Fire,14,Bhubaneswar,20.373,85.7077,19.8,6.3,Natural,Forest Fire,122,Wildfire spreading through forest areas threatening nearby settlements.,False
2023-04-28,Medical,144,Bengaluru,13.1339,77.4693,11.3,5.3,Healthcare,Heatstroke Wave,61,"Multiple cases of heatstroke amid extreme temperatures, affecting vulnerable populations.",False
2023-04-28,Fire,34,Agartala,23.8093,91.4524,14.3,4.8,Natural,Forest Fire,58,Wildfire spreading through forest areas threatening nearby settlements.,False
2023-04-28,Fire,17,Udaipur,24.4669,73.7296,21.6,4.8,Natural,Forest Fire,112,Wildfire spreading through forest areas threatening nearby settlements.,False
2023-04-28,Disaster,230,Delhi,28.7433,77.3383,16.9,7.4,Natural,Heatwave,99,Prolonged period of extremely high temperatures affecting vulnerable populations.,True
2023-04-28,Medical,56,Hyderabad,17.3192,78.6044,8.3,2.5,Healthcare,Gastroenteritis Outbreak,49,"Outbreak of gastroenteritis affecting multiple communities, likely from contaminated water.",False
2023-04-28,Disaster,44,Aizawl,23.6088,92.6777,25.4,9.0,Natural,Heatwave,99,Prolonged period of extremely high temperatures affecting vulnerable populations.,True
2023-04-28,Medical,31,Mangalore,12.7989,74.8606,12.7,4.0,Healthcare,Gastroenteritis Outbreak,51,"Outbreak of gastroenteritis affecting multiple communities, likely from contaminated water.",False
2023-04-29,Disaster,49,Agartala,23.6424,91.1631,31.4,4.3,Natural,Drought,97,Prolonged dry period affecting agriculture and water availability.,False
2023-04-29,Fire,18,Coimbatore,10.8865,76.7768,12.9,5.8,Natural,Forest Fire,38,Wildfire spreading through forest areas threatening nearby settlements.,False
2023-04-29,Disaster,80,Shimla,31.2418,77.1273,35.2,5.6,Natural,Drought,101,Prolonged dry period affecting agriculture and water availability.,False
2023-04-29,Disaster,96,Indore,22.5238,75.8019,22.3,9.0,Natural,Heatwave,132,Prolonged period of extremely high temperatures affecting vulnerable populations.,True
2023-04-29,Fire,15,Nagpur,21.1345,79.0092,15.0,6.3,Natural,Forest Fire,42,Wildfire spreading through forest areas threatening nearby settlements.,False
2023-04-29,Disaster,42,Shimla,31.2042,77.0461,20.9,6.5,Natural,Dust Storm,26,Severe dust storm reducing visibility and causing respiratory issues.,False
2023-04-29,Medical,62,Pune,18.5511,73.7957,11.6,5.1,Healthcare,Heatstroke Wave,6,"Multiple cases of heatstroke amid extreme temperatures, affecting vulnerable populations.",False
2023-04-30,Medical,69,Goa,15.2337,74.0798,13.7,6.0,Healthcare,Heatstroke Wave,73,"Multiple cases of heatstroke amid extreme temperatures, affecting vulnerable populations.",False
2023-04-30,Disaster,72,Leh,34.2152,77.5157,31.1,4.9,Natural,Dust Storm,148,Severe dust storm reducing visibility and causing respiratory issues.,False
2023-04-30,Medical,50,Agra,27.0331,78.1648,13.1,3.9,Healthcare,Heatstroke Wave,91,"Multiple cases of heatstroke amid extreme temperatures, affecting vulnerable populations.",False
2023-04-30,Disaster,80,Jaipur,26.7386,75.608,26.4,6.8,Natural,Heatwave,111,Prolonged period of extremely high temperatures affecting vulnerable populations.,False
2023-04-30,Disaster,93,Chandigarh,30.6076,76.8159,19.8,8.0,Natural,Dust Storm,35,Severe dust storm reducing visibility and causing respiratory issues.,False
2023-05-01,Disaster,90,Gangtok,27.1606,88.5297,21.4,4.2,Natural,Heatwave,65,Prolonged period of extremely high temperatures affecting vulnerable populations.,False
2023-05-01,Disaster,50,Bhopal,23.4249,77.2324,28.2,7.4,Natural,Heatwave,99,Prolonged period of extremely high temperatures affecting vulnerable populations.,False
2023-05-01,Medical,40,Kochi,9.9864,76.3917,12.6,3.6,Healthcare,Gastroenteritis Outbreak,57,"Outbreak of gastroenteritis affecting multiple communities, likely from contaminated water.",False
2023-05-01,Medical,67,Pune,18.5214,73.8268,10.0,4.9,Healthcare,Gastroenteritis Outbreak,108,"Outbreak of gastroenteritis affecting multiple communities, likely from contaminated water.",False
2023-05-01,Medical,123,Bengaluru,13.1199,77.687,8.3,6.3,Healthcare,Heatstroke Wave,124,"Multiple cases of heatstroke amid extreme temperatures, affecting vulnerable populations.",False
2023-05-02,Medical,78,Thiruvananthapuram,8.4273,76.8573,10.5,2.6,Healthcare,Gastroenteritis Outbreak,91,"Outbreak of gastroenteritis affecting multiple communities, likely from contaminated water.",False
2023-05-02,Disaster,94,Visakhapatnam,17.6452,83.3958,22.9,8.4,Natural,Heatwave,113,Prolonged period of extremely high temperatures affecting vulnerable populations.,True
2023-05-02,Medical,33,Gangtok,27.3723,88.4545,12.8,6.6,Healthcare,Heatstroke Wave,33,"Multiple cases of heatstroke amid extreme temperatures, affecting vulnerable populations.",False
2023-05-02,Disaster,72,Patna,25.7843,85.0392,25.5,8.0,Natural,Dust Storm,36,Severe dust storm reducing visibility and causing respiratory issues.,False
2023-05-03,Disaster,61,Varanasi,25.3514,82.9782,32.0,4.7,Natural,Drought,90,Prolonged dry period affecting agriculture and water availability.,False
2023-05-03,Fire,15,Gwalior,26.2204,78.0343,14.0,4.1,Natural,Forest Fire,101,Wildfire spreading through forest areas threatening nearby settlements.,False
2023-05-03,Medical,61,Bengaluru,12.9463,77.4094,11.9,4.8,Healthcare,Heatstroke Wave,73,"Multiple cases of heatstroke amid extreme temperatures, affecting vulnerable populations.",False
2023-05-03,Medical,40,Bhopal,23.3748,77.2678,15.5,4.6,Healthcare,Gastroenteritis Outbreak,134,"Outbreak of gastroenteritis affecting multiple communities, likely from contaminated water.",False
2023-05-03,Medical,66,Amritsar,31.7896,74.8696,12.6,2.6,Healthcare,Heatstroke Wave,77,"Multiple cases of heatstroke amid extreme temperatures, affecting vulnerable populations.",False
2023-05-03,Disaster,63,Mangalore,13.0809,74.6771,33.8,8.0,Natural,Drought,160,Prolonged dry period affecting agriculture and water availability.,False
2023-05-03,Medical,53,Gangtok,27.3947,88.4697,13.4,2.8,Healthcare,Heatstroke Wave,134,"Multiple cases of heatstroke amid extreme temperatures, affecting vulnerable populations.",False
2023-05-03,Disaster,71,Imphal,24.9315,93.7901,30.2,6.6,Natural,Heatwave,53,Prolonged period of extremely high temperatures affecting vulnerable populations.,False
2023-05-04,Medical,79,Coimbatore,10.8919,76.809,10.8,5.8,Healthcare,Gastroenteritis Outbreak,22,"Outbreak of gastroenteritis affecting multiple communities, likely from contaminated water.",False
2023-05-04,Disaster,64,Shillong,25.5506,91.8416,32.6,5.9,Natural,Heatwave,77,Prolonged period of extremely high temperatures affecting vulnerable populations.,False
2023-05-04,Medical,47,Surat,21.3265,72.7005,14.7,3.2,Healthcare,Heatstroke Wave,61,"Multiple cases of heatstroke amid extreme temperatures, affecting vulnerable populations.",False
2023-05-05,Disaster,121,Delhi,28.7299,77.3146,23.0,7.8,Natural,Dust Storm,14,Severe dust storm reducing visibility and causing respiratory issues.,False
2023-05-05,Fire,24,Agartala,23.7571,91.0983,19.2,4.0,Natural,Forest Fire,116,Wildfire spreading through forest areas threatening nearby settlements.,False
2023-05-05,Fire,20,Kohima,25.5156,93.9707,17.1,5.5,Natural,Forest Fire,88,Wildfire spreading through forest areas threatening nearby settlements.,False
2023-05-05,Medical,57,Nagpur,20.9867,79.0928,13.6,4.0,Healthcare,Gastroenteritis Outbreak,75,"Outbreak of gastroenteritis affecting multiple communities, likely from contaminated water.",False
2023-05-05,Fire,11,Visakhapatnam,17.6811,83.0453,17.6,5.4,Natural,Forest Fire,41,Wildfire spreading through forest areas threatening nearby settlements.,False
2023-05-06,Disaster,56,Agartala,23.8671,91.1715,28.4,6.5,Natural,Heatwave,51,Prolonged period of extremely high temperatures affecting vulnerable populations.,False
2023-05-06,Disaster,86,Ahmedabad,23.1102,72.3854,24.5,6.8,Natural,Drought,164,Prolonged dry period affecting agriculture and water availability.,False
2023-05-06,Disaster,53,Jaipur,26.9893,75.8554,23.5,4.4,Natural,Dust Storm,107,Severe dust storm reducing visibility and causing respiratory issues.,False
2023-05-06,Disaster,76,Imphal,24.9412,94.0941,22.5,4.7,Natural,Heatwave,115,Prolonged period of extremely high temperatures affecting vulnerable populations.,False
2023-05-06,Medical,50,Indore,22.7286,75.7959,10.0,2.6,Healthcare,Gastroenteritis Outbreak,145,"Outbreak of gastroenteritis affecting multiple communities, likely from contaminated water.",False
2023-05-07,Medical,77,Surat,21.2255,73.0197,13.5,4.3,Healthcare,Heatstroke Wave,93,"Multiple cases of heatstroke amid extreme temperatures, affecting vulnerable populations.",False
2023-05-07,Medical,61,Shimla,31.2522,77.3565,12.1,6.0,Healthcare,Gastroenteritis Outbreak,65,"Outbreak of gastroenteritis affecting multiple communities, likely from contaminated water.",False
2023-05-07,Medical,77,Lucknow,26.8175,80.8051,15.6,5.6,Healthcare,Gastroenteritis Outbreak,79,"Outbreak of gastroenteritis affecting multiple communities, likely from contaminated water.",False
2023-05-07,Disaster,46,Kochi,10.0909,76.3181,31.6,5.5,Natural,Drought,93,Prolonged dry period affecting agriculture and water availability.,False
2023-05-07,Medical,40,Shillong,25.5957,92.0588,13.1,3.4,Healthcare,Heatstroke Wave,16,"Multiple cases of heatstroke amid extreme temperatures, affecting vulnerable populations.",False
2023-05-07,Disaster,55,Agra,27.04,77.9861,19.5,4.1,Natural,Dust Storm,49,Severe dust storm reducing visibility and causing respiratory issues.,False
2023-05-07,Medical,43,Nagpur,21.1514,79.1339,12.7,4.4,Healthcare,Gastroenteritis Outbreak,123,"Outbreak of gastroenteritis affecting multiple communities, likely from contaminated water.",False
2023-05-07,Fire,38,Udaipur,24.401,73.6726,14.0,9.3,Natural,Forest Fire,136,Wildfire spreading through forest areas threatening nearby settlements.,True
2023-05-07,Disaster,54,Agra,27.0557,77.9909,31.9,7.5,Natural,Heatwave,54,Prolonged period of extremely high temperatures affecting vulnerable populations.,False
2023-05-08,Disaster,92,Ranchi,23.5353,85.481,24.3,7.3,Natural,Dust Storm,16,Severe dust storm reducing visibility and causing respiratory issues.,False
2023-05-08,Medical,63,Raipur,21.3045,81.4506,15.1,6.1,Healthcare,Gastroenteritis Outbreak,8,"Outbreak of gastroenteritis affecting multiple communities, likely from contaminated water.",False
2023-05-08,Medical,40,Chandigarh,30.5711,76.6604,13.1,6.9,Healthcare,Gastroenteritis Outbreak,150,"Outbreak of gastroenteritis affecting multiple communities, likely from contaminated water.",False
2023-05-08,Disaster,72,Ranchi,23.5245,85.4069,21.8,6.1,Natural,Drought,171,Prolonged dry period affecting agriculture and water availability.,False
2023-05-08,Disaster,141,Bengaluru,13.0874,77.4725,22.4,9.5,Natural,Heatwave,112,Prolonged period of extremely high temperatures affecting vulnerable populations.,True
2023-05-08,Fire,14,Allahabad,25.3565,81.8809,20.2,5.8,Natural,Forest Fire,127,Wildfire spreading through forest areas threatening nearby settlements.,False
2023-05-09,Fire,15,Kohima,25.85,94.2956,19.7,5.7,Natural,Forest Fire,69,Wildfire spreading through forest areas threatening nearby settlements.,False
2023-05-09,Disaster,71,Dehradun,30.3291,78.141,24.5,5.2,Natural,Heatwave,121,Prolonged period of extremely high temperatures affecting vulnerable populations.,False
2023-05-09,Fire,11,Thiruvananthapuram,8.6891,76.9606,15.4,8.2,Natural,Forest Fire,66,Wildfire spreading through forest areas threatening nearby settlements.,True
2023-05-09,Disaster,168,Kolkata,22.749,88.3178,16.9,8.2,Natural,Drought,195,Prolonged dry period affecting agriculture and water availability.,True
2023-05-09,Disaster,90,Agartala,23.6787,91.4468,32.9,8.0,Natural,Heatwave,113,Prolonged period of extremely high temperatures affecting vulnerable populations.,False
2023-05-09,Disaster,47,Shillong,25.6082,91.883,25.5,4.7,Natural,Heatwave,52,Prolonged period of extremely high temperatures affecting vulnerable populations.,False
2023-05-09,Disaster,52,Shimla,31.1828,77.3307,34.1,8.1,Natural,Heatwave,119,Prolonged period of extremely high temperatures affecting vulnerable populations.,True
2023-05-09,Disaster,77,Gangtok,27.4859,88.7586,23.0,8.3,Natural,Drought,133,Prolonged dry period affecting agriculture and water availability.,True
2023-05-09,Fire,62,Delhi,28.46,77.3609,12.2,5.7,Natural,Forest Fire,15,Wildfire spreading through forest areas threatening nearby settlements.,False
2023-05-10,Medical,90,Mumbai,19.092,72.9492,11.9,2.4,Healthcare,Gastroenteritis Outbreak,143,"Outbreak of gastroenteritis affecting multiple communities, likely from contaminated water.",False
2023-05-10,Fire,15,Allahabad,25.6024,82.0312,20.5,6.8,Natural,Forest Fire,99,Wildfire spreading through forest areas threatening nearby settlements.,False
2023-05-10,Disaster,50,Shillong,25.4778,91.7371,34.0,6.7,Natural,Dust Storm,10,Severe dust storm reducing visibility and causing respiratory issues.,False
2023-05-10,Medical,40,Imphal,24.6893,93.7403,16.1,2.9,Healthcare,Heatstroke Wave,145,"Multiple cases of heatstroke amid extreme temperatures, affecting vulnerable populations.",False
2023-05-10,Fire,17,Gangtok,27.409,88.596,18.6,8.6,Natural,Forest Fire,56,Wildfire spreading through forest areas threatening nearby settlements.,True
2023-05-10,Fire,29,Aizawl,23.6018,92.6301,15.8,8.0,Natural,Forest Fire,92,Wildfire spreading through forest areas threatening nearby settlements.,False
2023-05-11,Medical,41,Mysore,12.1946,76.6563,13.3,5.9,Healthcare,Gastroenteritis Outbreak,21,"Outbreak of gastroenteritis affecting multiple communities, likely from contaminated water.",False
2023-05-11,Fire,62,Delhi,28.7152,77.0763,11.5,8.0,Natural,Forest Fire,112,Wildfire spreading through forest areas threatening nearby settlements.,False
2023-05-11,Disaster,110,Delhi,28.637,77.0531,17.5,7.2,Natural,Heatwave,70,Prolonged period of extremely high temperatures affecting vulnerable populations.,False
2023-05-11,Disaster,198,Kolkata,22.4493,88.1734,23.2,7.0,Natural,Heatwave,125,Prolonged period of extremely high temperatures affecting vulnerable populations.,False
2023-05-11,Medical,60,Visakhapatnam,17.5512,83.3672,14.9,3.9,Healthcare,Heatstroke Wave,77,"Multiple cases of heatstroke amid extreme temperatures, affecting vulnerable populations.",False
2023-05-11,Disaster,48,Aizawl,23.6977,92.8093,22.9,4.9,Natural,Dust Storm,67,Severe dust storm reducing visibility and causing respiratory issues.,False
2023-05-11,Disaster,86,Jodhpur,26.2148,73.2074,28.9,7.2,Natural,Heatwave,71,Prolonged period of extremely high temperatures affecting vulnerable populations.,False
2023-05-12,Medical,42,Mysore,12.4502,76.754,12.1,6.9,Healthcare,Gastroenteritis Outbreak,49,"Outbreak of gastroenteritis affecting multiple communities, likely from contaminated water.",False
2023-05-12,Medical,45,Aizawl,23.7845,92.8605,11.7,3.8,Healthcare,Heatstroke Wave,135,"Multiple cases of heatstroke amid extreme temperatures, affecting vulnerable populations.",False
2023-05-12,Medical,39,Visakhapatnam,17.7448,83.3257,11.7,6.7,Healthcare,Heatstroke Wave,76,"Multiple cases of heatstroke amid extreme temperatures, affecting vulnerable populations.",False
2023-05-12,Fire,25,Hyderabad,17.5556,78.6008,14.5,6.1,Natural,Forest Fire,47,Wildfire spreading through forest areas threatening nearby settlements.,False
2023-05-12,Medical,66,Jodhpur,26.3073,73.2164,13.9,5.0,Healthcare,Gastroenteritis Outbreak,86,"Outbreak of gastroenteritis affecting multiple communities, likely from contaminated water.",False
2023-05-13,Disaster,149,Bengaluru,13.0575,77.4433,24.2,7.7,Natural,Drought,135,Prolonged dry period affecting agriculture and water availability.,False
2023-05-13,Medical,31,Lucknow,26.9225,81.1211,12.4,6.7,Healthcare,Heatstroke Wave,130,"Multiple cases of heatstroke amid extreme temperatures, affecting vulnerable populations.",False
2023-05-13,Disaster,72,Amritsar,31.6106,74.946,21.5,4.6,Natural,Dust Storm,54,Severe dust storm reducing visibility and causing respiratory issues.,False
2023-05-13,Fire,23,Gangtok,27.4263,88.4948,19.0,7.0,Natural,Forest Fire,40,Wildfire spreading through forest areas threatening nearby settlements.,False
2023-05-13,Disaster,66,Gangtok,27.3994,88.622,23.2,8.8,Natural,Heatwave,50,Prolonged period of extremely high temperatures affecting vulnerable populations.,True
